provider,judge_model,split,n,binary_accuracy,binary_macro_f1,human_recall,ai_recall,attribution_accuracy,attribution_macro_f1,mean_confidence,binary_roc_auc
openai,gpt-5.6-luna,test,50,0.78,0.7688104245481295,0.56,1.0,0.46,0.3252379959697033,0.43033249581239535,0.9223999999999999
gemini,gemini-3.5-flash-lite,test,49,0.7755102040816326,0.7657540199913082,1.0,0.56,0.5306122448979592,0.2202991452991453,0.6910204081632653,0.965
openai,gpt-5.6-terra,test,50,0.76,0.7453310696095077,0.52,1.0,0.46,0.39101666307548655,0.43798666666666664,0.9792
